Date,oil/day
2013-11-01,357.64
2013-12-01,413.84
2014-01-01,200.0
2014-02-01,296.07
2014-03-01,230.03
2014-04-01,179.1
2014-05-01,150.26
2014-06-01,131.57
2014-07-01,116.29
2014-08-01,107.68
2014-09-01,95.4
2014-10-01,85.03
2014-11-01,83.93
2014-12-01,79.55
2015-01-01,70.32
2015-02-01,63.64
2015-03-01,62.39
2015-04-01,62.7
2015-05-01,59.71
2015-06-01,51.4
2015-07-01,48.1
2015-08-01,48.06
2015-09-01,43.07
2015-10-01,45.29
2015-11-01,41.67
2015-12-01,33.17
2016-01-01,46.13
2016-02-01,38.83
2016-03-01,33.94
2016-04-01,34.83
2016-05-01,33.16
2016-06-01,35.97
2016-07-01,33.94
2016-08-01,30.97
2016-09-01,36.73
2016-10-01,35.29
2016-11-01,39.37
2016-12-01,35.97
2017-01-01,29.9
2017-02-01,31.29
2017-03-01,24.45
2017-04-01,23.03
2017-05-01,29.23
2017-06-01,27.3
2017-07-01,24.19
2017-08-01,25.61
2017-09-01,25.7
2017-10-01,27.9
2017-11-01,28.6
2017-12-01,24.0
2018-01-01,24.84
2018-02-01,20.22
2018-03-01,25.16
2018-04-01,21.67
2018-05-01,22.03
2018-06-01,19.33
2018-07-01,20.13
2018-08-01,18.52
2018-09-01,20.33
2018-10-01,21.32
2018-11-01,20.3
2018-12-01,20.34
2019-01-01,19.45
2019-02-01,16.13
2019-03-01,19.16
2019-04-01,0.75
2019-12-01,11.45
2020-01-01,10.68
2020-02-01,6.83
2020-03-01,9.35
2020-04-01,8.6
2020-05-01,9.94
2020-06-01,6.37
2020-07-01,7.55
2020-08-01,7.52
2020-09-01,7.37
2020-10-01,7.39
2020-11-01,7.11
2020-12-01,11.33
2021-01-01,17.33
2021-02-01,9.79
2021-03-01,9.5
2021-04-01,8.47
2021-05-01,9.23
2021-06-01,8.4
2021-07-01,7.9
2021-08-01,7.58
2021-09-01,7.77
2021-10-01,7.68
2021-11-01,8.1
2021-12-01,8.55
