Date,oil/day
2013-10-01,196.59
2013-11-01,345.9
2013-12-01,247.42
2014-01-01,205.83
2014-02-01,168.5
2014-03-01,143.35
2014-04-01,127.93
2014-05-01,100.76
2014-07-01,179.79
2014-08-01,133.58
2014-09-01,97.73
2014-10-01,82.84
2014-11-01,67.1
2014-12-01,65.32
2015-01-01,57.94
2015-02-01,50.25
2015-03-01,52.06
2015-04-01,50.13
2015-05-01,46.93
2015-06-01,44.37
2015-07-01,41.32
2015-08-01,41.13
2015-09-01,37.33
2015-10-01,32.13
2015-11-01,38.7
2015-12-01,32.81
2016-01-01,33.94
2016-02-01,31.41
2016-03-01,28.9
2016-04-01,27.47
2016-05-01,28.0
2016-06-01,24.93
2016-07-01,31.9
2016-08-01,26.84
2016-09-01,23.21
2016-10-01,28.0
2016-11-01,26.8
2016-12-01,22.48
2017-01-01,25.42
2017-02-01,27.25
2017-03-01,18.03
2017-04-01,22.33
2017-05-01,19.58
2017-06-01,18.8
2017-07-01,18.48
2017-08-01,16.77
2017-09-01,20.1
2017-10-01,21.14
2017-11-01,17.67
2017-12-01,15.68
2018-01-01,14.61
2018-02-01,14.0
2018-03-01,14.39
2018-04-01,16.07
2018-05-01,15.19
2018-06-01,9.47
2018-07-01,13.84
2018-08-01,15.77
2018-09-01,12.1
2018-10-01,14.16
2018-11-01,13.27
2018-12-01,13.03
2019-01-01,15.58
2019-02-01,11.38
2019-03-01,8.42
2019-04-01,11.27
2019-05-01,11.17
2019-06-01,7.9
2019-07-01,13.65
2019-08-01,10.68
2019-09-01,11.04
2019-10-01,11.15
2019-11-01,14.2
2019-12-01,13.58
2020-01-01,13.61
2020-02-01,12.9
2020-03-01,12.94
2020-04-01,11.9
2020-05-01,11.39
2020-06-01,9.73
2020-07-01,10.74
2020-08-01,9.0
2020-09-01,12.4
2020-10-01,10.77
2020-12-01,16.9
2021-01-01,6.0
2021-02-01,5.39
2021-03-01,6.65
2021-04-01,15.17
2021-05-01,14.29
2021-06-01,10.87
2021-07-01,10.81
2021-08-01,9.45
2021-09-01,9.5
2021-10-01,9.06
2021-11-01,9.83
2021-12-01,9.0
