Date,oil/day
2013-11-01,264.43
2013-12-01,275.84
2014-01-01,181.2
2014-02-01,219.96
2014-03-01,162.06
2014-04-01,132.8
2014-05-01,113.03
2014-06-01,98.73
2014-07-01,88.94
2014-08-01,81.1
2014-09-01,76.43
2014-10-01,72.03
2014-11-01,68.5
2014-12-01,65.84
2015-01-01,56.74
2015-02-01,52.54
2015-03-01,56.39
2015-04-01,53.53
2015-05-01,50.9
2015-06-01,45.97
2015-07-01,45.45
2015-08-01,45.45
2015-09-01,40.63
2015-10-01,38.06
2015-11-01,39.13
2015-12-01,33.03
2016-01-01,44.58
2016-02-01,40.76
2016-03-01,36.84
2016-04-01,34.9
2016-05-01,32.29
2016-06-01,33.5
2016-07-01,36.48
2016-08-01,27.0
2016-09-01,27.47
2016-10-01,30.94
2016-11-01,23.33
2016-12-01,27.77
2017-01-01,21.46
2017-02-01,28.95
2017-03-01,24.06
2017-04-01,24.87
2017-05-01,21.26
2017-06-01,21.0
2017-07-01,19.16
2017-08-01,19.58
2017-09-01,21.63
2017-10-01,22.1
2017-11-01,20.83
2017-12-01,19.19
2018-01-01,20.71
2018-02-01,17.75
2018-03-01,19.65
2018-04-01,14.57
2018-05-01,15.94
2018-06-01,13.8
2018-07-01,15.58
2018-08-01,13.81
2018-09-01,14.77
2018-10-01,16.55
2018-11-01,15.93
2018-12-01,15.17
2019-01-01,15.71
2019-02-01,15.75
2019-03-01,20.61
2019-04-01,6.6
2019-05-01,21.06
2019-06-01,15.3
2019-07-01,12.74
2019-08-01,12.1
2019-09-01,12.33
2019-10-01,16.13
2019-11-01,14.87
2019-12-01,16.58
2020-01-01,16.0
2020-02-01,15.59
2020-03-01,17.32
2020-04-01,14.9
2020-05-01,17.58
2020-06-01,10.83
2020-07-01,13.39
2020-08-01,12.55
2020-09-01,12.87
2020-10-01,12.94
2020-11-01,13.67
2020-12-01,18.33
2021-01-01,10.39
2021-02-01,13.46
2021-03-01,12.77
2021-04-01,11.97
2021-05-01,22.84
2021-06-01,15.5
2021-07-01,14.19
2021-08-01,13.39
2021-09-01,13.87
2021-10-01,13.03
2021-11-01,11.0
2021-12-01,13.45
