Date,oil/day
2013-10-01,277.04
2013-11-01,216.33
2013-12-01,123.48
2014-01-01,107.03
2014-02-01,80.54
2014-03-01,74.39
2014-04-01,64.9
2014-05-01,52.62
2014-06-01,2.67
2014-07-01,86.53
2014-08-01,69.39
2014-09-01,50.07
2014-10-01,44.45
2014-11-01,35.33
2014-12-01,37.45
2015-01-01,32.61
2015-02-01,32.21
2015-03-01,31.45
2015-04-01,28.57
2015-05-01,28.29
2015-06-01,30.07
2015-07-01,28.03
2015-08-01,26.1
2015-09-01,23.1
2015-10-01,17.19
2015-11-01,22.37
2015-12-01,17.8
2016-01-01,23.16
2016-02-01,18.45
2016-03-01,17.26
2016-04-01,17.67
2016-05-01,17.68
2016-06-01,16.33
2016-07-01,17.61
2016-08-01,17.87
2016-09-01,12.04
2016-10-01,19.45
2016-11-01,20.87
2016-12-01,16.45
2017-01-01,15.26
2017-02-01,16.61
2017-03-01,11.21
2017-04-01,17.57
2017-05-01,15.1
2017-06-01,16.03
2017-07-01,16.13
2017-08-01,14.71
2017-09-01,17.3
2017-10-01,17.5
2017-11-01,15.68
2017-12-01,13.82
2018-01-01,23.48
2018-02-01,16.32
2018-03-01,16.61
2018-04-01,15.6
2018-05-01,15.74
2018-06-01,8.06
2018-07-01,17.0
2018-08-01,16.48
2018-09-01,9.9
2018-10-01,16.64
2018-11-01,9.11
2018-12-01,11.33
2019-01-01,12.0
2019-02-01,7.18
2019-03-01,9.19
2019-04-01,11.13
2019-05-01,11.0
2019-08-01,24.0
2019-09-01,13.35
2019-10-01,10.83
2019-11-01,16.27
2019-12-01,12.97
2020-01-01,11.48
2020-02-01,9.62
2020-03-01,9.81
2020-04-01,8.47
2020-05-01,9.68
2020-06-01,7.57
2020-07-01,9.71
2020-08-01,8.48
2020-09-01,10.0
2020-10-01,8.11
2020-12-01,13.58
2021-01-01,11.55
2021-02-01,10.21
2021-03-01,10.47
2021-04-01,8.33
2021-05-01,9.81
2021-06-01,8.13
2021-07-01,8.29
2021-08-01,8.45
2021-09-01,8.27
2021-10-01,8.45
2021-11-01,8.77
2021-12-01,9.61
