Date,oil/day
2013-10-01,185.71
2013-11-01,332.73
2013-12-01,242.1
2014-01-01,194.83
2014-02-01,157.75
2014-03-01,148.29
2014-04-01,129.73
2014-05-01,102.5
2014-06-01,2.8
2014-07-01,163.26
2014-08-01,129.03
2014-09-01,98.63
2014-10-01,86.19
2014-11-01,70.93
2014-12-01,64.13
2015-01-01,57.0
2015-02-01,52.57
2015-03-01,53.19
2015-04-01,49.5
2015-05-01,50.61
2015-06-01,47.9
2015-07-01,42.35
2015-08-01,40.77
2015-09-01,35.6
2015-10-01,35.19
2015-11-01,35.8
2015-12-01,30.77
2016-01-01,33.77
2016-02-01,33.0
2016-03-01,27.9
2016-04-01,31.67
2016-05-01,29.39
2016-06-01,25.9
2016-07-01,26.29
2016-08-01,25.42
2016-09-01,18.11
2016-10-01,18.13
2016-11-01,22.13
2016-12-01,10.43
2017-01-01,16.58
2017-02-01,24.32
2017-03-01,16.26
2017-04-01,19.37
2017-05-01,16.74
2017-06-01,18.9
2017-07-01,10.71
2017-08-01,9.3
2017-09-01,18.2
2017-10-01,16.0
2017-11-01,15.97
2017-12-01,15.42
2018-01-01,15.74
2018-02-01,13.36
2018-03-01,14.03
2018-04-01,12.87
2018-05-01,12.97
2018-06-01,10.2
2018-07-01,12.0
2018-08-01,13.06
2018-09-01,9.83
2018-10-01,12.23
2018-11-01,12.93
2018-12-01,11.77
2019-01-01,13.87
2019-02-01,10.46
2019-03-01,10.71
2019-04-01,10.43
2019-05-01,10.17
2019-06-01,17.62
2019-07-01,10.74
2019-08-01,9.48
2019-09-01,11.26
2019-10-01,12.0
2019-11-01,15.1
2019-12-01,14.55
2020-01-01,14.58
2020-02-01,6.45
2020-03-01,2.97
2020-04-01,3.5
2020-05-01,12.52
2020-06-01,9.57
2020-07-01,9.48
2020-08-01,7.42
2020-09-01,8.6
2020-10-01,7.27
2020-12-01,9.61
2021-01-01,9.42
2021-02-01,7.43
2021-03-01,6.29
2021-04-01,6.5
2021-05-01,5.06
2021-06-01,5.33
2021-07-01,7.61
2021-08-01,7.16
2021-09-01,6.73
2021-10-01,6.29
2021-11-01,5.67
2021-12-01,4.68
