Date,oil/day
2013-10-01,259.71
2013-11-01,494.3
2013-12-01,321.23
2014-01-01,227.71
2014-02-01,270.75
2014-03-01,195.55
2014-04-01,175.03
2014-05-01,157.65
2014-06-01,142.3
2014-07-01,126.1
2014-08-01,115.9
2014-09-01,110.93
2014-10-01,103.77
2014-11-01,94.5
2014-12-01,83.71
2015-01-01,78.45
2015-02-01,74.93
2015-03-01,70.97
2015-04-01,70.1
2015-05-01,64.81
2015-06-01,59.3
2015-07-01,57.68
2015-08-01,57.42
2015-09-01,49.5
2015-10-01,49.81
2015-11-01,47.1
2015-12-01,40.06
2016-01-01,51.16
2016-02-01,47.1
2016-03-01,40.58
2016-04-01,40.53
2016-05-01,37.39
2016-06-01,40.4
2016-07-01,39.61
2016-08-01,35.45
2016-09-01,45.93
2016-10-01,39.94
2016-11-01,43.3
2016-12-01,37.71
2017-01-01,31.1
2017-02-01,30.79
2017-03-01,29.03
2017-04-01,34.1
2017-05-01,29.23
2017-06-01,28.5
2017-07-01,22.03
2017-08-01,27.35
2017-09-01,28.6
2017-10-01,27.52
2017-11-01,29.37
2017-12-01,24.81
2018-01-01,24.61
2018-02-01,24.0
2018-03-01,23.94
2018-04-01,22.23
2018-05-01,22.23
2018-06-01,19.97
2018-07-01,21.19
2018-08-01,19.65
2018-09-01,20.47
2018-10-01,20.39
2018-11-01,20.07
2018-12-01,19.17
2019-01-01,19.9
2019-02-01,14.26
2019-03-01,19.19
2019-04-01,1.5
2019-05-01,3.25
2019-10-01,4.5
2019-11-01,11.87
2019-12-01,9.35
2020-01-01,8.58
2020-02-01,8.21
2020-03-01,6.85
2021-01-01,26.89
2021-02-01,11.79
2021-03-01,9.13
2021-04-01,8.6
2021-05-01,9.26
2021-06-01,7.63
2021-07-01,6.84
2021-08-01,6.39
2021-09-01,6.53
2021-10-01,5.77
2021-11-01,5.13
2021-12-01,4.71
