Date,oil/day
2013-10-01,279.69
2013-11-01,454.15
2013-12-01,331.77
2014-01-01,198.94
2014-02-01,283.32
2014-03-01,235.58
2014-04-01,204.77
2014-05-01,182.65
2014-06-01,164.47
2014-07-01,155.29
2014-08-01,142.71
2014-09-01,133.07
2014-10-01,121.32
2014-11-01,113.93
2014-12-01,109.39
2015-01-01,101.19
2015-02-01,92.11
2015-03-01,92.45
2015-04-01,87.17
2015-05-01,66.67
2015-06-01,62.2
2015-07-01,62.1
2015-08-01,58.94
2015-09-01,53.67
2015-10-01,52.97
2015-11-01,51.53
2015-12-01,49.26
2016-01-01,55.13
2016-02-01,53.0
2016-03-01,48.52
2016-04-01,49.3
2016-05-01,45.52
2016-06-01,48.77
2016-07-01,44.61
2016-08-01,40.65
2016-09-01,49.5
2016-10-01,48.77
2016-11-01,49.63
2016-12-01,44.9
2017-01-01,35.32
2017-02-01,37.79
2017-03-01,29.03
2017-04-01,47.4
2017-05-01,36.45
2017-06-01,40.84
2017-07-01,35.06
2017-08-01,35.48
2017-09-01,36.2
2017-10-01,41.0
2017-11-01,38.0
2017-12-01,31.32
2018-01-01,32.42
2018-02-01,30.54
2018-03-01,31.06
2018-04-01,27.43
2018-05-01,29.13
2018-06-01,21.46
2018-07-01,27.32
2018-08-01,23.68
2018-09-01,24.93
2018-10-01,26.45
2018-11-01,26.37
2018-12-01,26.93
2019-01-01,25.19
2019-02-01,24.0
2019-03-01,25.32
2019-04-01,5.4
2019-05-01,24.75
2019-06-01,26.14
2019-07-01,18.39
2019-08-01,16.65
2019-09-01,14.04
2019-10-01,16.26
2019-11-01,15.77
2019-12-01,20.19
2020-01-01,18.39
2020-02-01,16.07
2020-03-01,17.16
2020-04-01,15.7
2020-05-01,18.77
2020-06-01,11.1
2020-07-01,13.68
2020-08-01,14.19
2020-09-01,14.53
2020-10-01,14.35
2020-11-01,14.03
2020-12-01,18.87
2021-01-01,19.22
2021-02-01,14.46
2021-03-01,13.83
2021-04-01,13.13
2021-05-01,13.81
2021-06-01,11.63
2021-07-01,11.42
2021-08-01,11.55
2021-09-01,12.13
2021-10-01,10.55
2021-11-01,9.97
2021-12-01,11.0
