Date,oil/day
2013-10-01,287.29
2013-11-01,262.3
2013-12-01,194.68
2014-01-01,155.07
2014-02-01,135.21
2014-03-01,118.97
2014-04-01,105.37
2014-05-01,86.38
2014-07-01,140.45
2014-08-01,141.39
2014-09-01,109.23
2014-10-01,100.71
2014-11-01,76.77
2014-12-01,74.45
2015-01-01,83.9
2015-02-01,75.96
2015-03-01,72.45
2015-04-01,68.37
2015-05-01,67.03
2015-06-01,69.97
2015-07-01,64.48
2015-08-01,59.97
2015-09-01,53.33
2015-10-01,52.1
2015-11-01,49.97
2015-12-01,46.84
2016-01-01,47.03
2016-02-01,46.55
2016-03-01,40.87
2016-04-01,37.83
2016-05-01,38.84
2016-06-01,35.53
2016-07-01,35.58
2016-08-01,35.06
2016-09-01,28.63
2016-10-01,32.94
2016-11-01,42.13
2016-12-01,30.45
2017-01-01,28.74
2017-02-01,33.18
2017-03-01,22.87
2017-04-01,29.73
2017-05-01,25.58
2017-06-01,26.5
2017-07-01,23.19
2017-08-01,23.26
2017-09-01,24.8
2017-10-01,27.52
2017-11-01,25.97
2017-12-01,21.29
2018-01-01,23.55
2018-02-01,19.25
2018-03-01,21.03
2018-04-01,21.87
2018-05-01,20.9
2018-06-01,14.7
2018-07-01,17.68
2018-08-01,18.87
2018-09-01,14.43
2018-10-01,15.35
2018-11-01,15.03
2018-12-01,15.63
2019-01-01,17.68
2019-02-01,13.0
2019-03-01,15.16
2019-04-01,11.75
2019-05-01,10.88
2019-07-01,34.69
2019-08-01,19.71
2019-09-01,21.22
2019-10-01,14.55
2019-11-01,14.43
2019-12-01,13.58
2020-01-01,13.61
2020-02-01,13.41
2020-03-01,13.71
2020-04-01,16.5
2020-05-01,16.84
2020-06-01,12.53
2020-07-01,14.35
2020-08-01,12.26
2020-09-01,15.3
2020-10-01,11.5
2020-12-01,17.58
2021-01-01,14.94
2021-02-01,11.04
2021-03-01,7.35
2021-04-01,5.7
2021-05-01,13.84
2021-06-01,8.2
2021-07-01,4.77
2021-08-01,12.23
2021-09-01,12.0
2021-10-01,12.42
2021-11-01,11.77
2021-12-01,12.29
