Date,oil/day
2013-10-01,163.83
2013-11-01,266.3
2013-12-01,223.65
2014-01-01,191.73
2014-02-01,167.61
2014-03-01,143.39
2014-04-01,125.6
2014-05-01,100.67
2014-06-01,2.67
2014-07-01,166.0
2014-08-01,140.19
2014-09-01,102.0
2014-10-01,88.0
2014-11-01,71.97
2014-12-01,68.74
2015-01-01,65.52
2015-02-01,54.93
2015-03-01,59.68
2015-04-01,55.63
2015-05-01,51.61
2015-06-01,49.47
2015-07-01,45.81
2015-08-01,45.1
2015-09-01,41.93
2015-10-01,37.35
2015-11-01,37.87
2015-12-01,31.84
2016-01-01,31.23
2016-02-01,41.59
2016-03-01,33.48
2016-04-01,31.23
2016-05-01,31.03
2016-06-01,29.3
2016-07-01,35.06
2016-08-01,31.32
2016-09-01,24.86
2016-10-01,30.23
2016-11-01,26.27
2016-12-01,22.9
2017-01-01,24.29
2017-02-01,27.04
2017-03-01,19.16
2017-04-01,19.73
2017-05-01,11.1
2017-06-01,14.9
2017-07-01,15.48
2017-08-01,24.87
2017-09-01,26.23
2017-10-01,27.71
2017-11-01,22.5
2017-12-01,18.29
2018-01-01,18.26
2018-02-01,15.86
2018-03-01,15.97
2018-04-01,15.83
2018-05-01,15.39
2018-06-01,12.67
2018-07-01,10.1
2018-08-01,12.71
2018-09-01,9.03
2018-10-01,8.45
2018-11-01,6.9
2018-12-01,6.41
2019-01-01,8.97
2019-02-01,6.04
2019-03-01,5.77
2019-04-01,7.25
2019-05-01,8.24
2019-06-01,6.93
2019-07-01,11.61
2019-08-01,10.42
2019-09-01,13.13
2019-10-01,9.43
2019-11-01,14.67
2019-12-01,14.55
2020-01-01,14.58
2020-02-01,11.59
2020-03-01,10.94
2020-04-01,10.07
2020-05-01,10.81
2020-06-01,1.87
2020-07-01,10.39
2020-08-01,9.13
2020-09-01,11.73
2020-10-01,10.69
2020-12-01,10.77
2021-01-01,11.71
2021-02-01,10.29
2021-03-01,8.29
2021-04-01,7.43
2021-05-01,7.71
2021-06-01,6.83
2021-07-01,7.71
2021-08-01,7.74
2021-09-01,7.67
2021-10-01,7.58
2021-11-01,7.8
2021-12-01,8.39
