API,oil/day,Date
05123454360000,418.70,11/1/18
05123454360000,527.06,12/1/18
05123454360000,480.68,1/1/19
05123454360000,398.82,2/1/19
05123454360000,350.61,3/1/19
05123454360000,314.13,4/1/19
05123454360000,266.10,5/1/19
05123454360000,162.00,6/1/19
05123454360000,#VALUE!,7/1/19
05123454360000,#VALUE!,8/1/19
05123454360000,17.00,9/1/19
05123454360000,44.58,10/1/19
05123454360000,100.33,11/1/19
05123454360000,105.71,12/1/19
05123454360000,108.13,1/1/20
05123454360000,134.69,2/1/20
05123454360000,126.42,3/1/20
05123454360000,120.10,4/1/20
05123454360000,104.84,5/1/20
05123454360000,88.50,6/1/20
05123454360000,78.00,7/1/20
05123454360000,68.35,8/1/20
05123454360000,62.17,9/1/20
05123454360000,55.90,10/1/20
05123454360000,54.38,11/1/20
05123454360000,46.87,12/1/20
05123454360000,42.52,1/1/21
05123454360000,40.96,2/1/21
05123454360000,37.03,3/1/21
05123454360000,36.47,4/1/21
05123454360000,32.65,5/1/21
05123454360000,31.83,6/1/21
05123454360000,31.42,7/1/21
05123454360000,27.03,8/1/21
05123454360000,27.93,9/1/21
05123454360000,27.94,10/1/21
05123454360000,27.57,11/1/21
05123454360000,25.77,12/1/21
05123454350000,627.00,9/1/18
05123454350000,550.35,10/1/18
05123454350000,505.83,11/1/18
05123454350000,452.45,12/1/18
05123454350000,399.03,1/1/19
05123454350000,328.39,2/1/19
05123454350000,285.19,3/1/19
05123454350000,258.77,4/1/19
05123454350000,223.63,5/1/19
05123454350000,147.00,6/1/19
05123454350000,#VALUE!,7/1/19
05123454350000,272.48,8/1/19
05123454350000,189.37,9/1/19
05123454350000,124.87,10/1/19
05123454350000,99.57,11/1/19
05123454350000,94.06,12/1/19
05123454350000,72.87,1/1/20
05123454350000,77.72,2/1/20
05123454350000,73.68,3/1/20
05123454350000,69.37,4/1/20
05123454350000,58.26,5/1/20
05123454350000,51.80,6/1/20
05123454350000,45.87,7/1/20
05123454350000,39.06,8/1/20
05123454350000,36.77,9/1/20
05123454350000,36.74,10/1/20
05123454350000,32.30,11/1/20
05123454350000,29.55,12/1/20
05123454350000,27.71,1/1/21
05123454350000,24.93,2/1/21
05123454350000,20.00,3/1/21
05123454350000,18.97,4/1/21
05123454350000,17.48,5/1/21
05123454350000,17.43,6/1/21
05123454350000,14.84,7/1/21
05123454350000,15.39,8/1/21
05123454350000,14.53,9/1/21
05123454350000,15.26,10/1/21
05123454350000,15.10,11/1/21
05123454350000,14.68,12/1/21
05123454340000,208.75,9/1/18
05123454340000,358.58,10/1/18
05123454340000,420.67,11/1/18
05123454340000,495.68,12/1/18
05123454340000,428.90,1/1/19
05123454340000,356.68,2/1/19
05123454340000,325.97,3/1/19
05123454340000,307.90,4/1/19
05123454340000,277.23,5/1/19
05123454340000,172.00,6/1/19
05123454340000,#VALUE!,7/1/19
05123454340000,104.47,8/1/19
05123454340000,117.11,9/1/19
05123454340000,95.23,10/1/19
05123454340000,97.00,11/1/19
05123454340000,107.68,12/1/19
05123454340000,96.35,1/1/20
05123454340000,88.72,2/1/20
05123454340000,85.81,3/1/20
05123454340000,94.57,4/1/20
05123454340000,94.52,5/1/20
05123454340000,81.47,6/1/20
05123454340000,71.74,7/1/20
05123454340000,64.29,8/1/20
05123454340000,60.57,9/1/20
05123454340000,50.35,10/1/20
05123454340000,51.33,11/1/20
05123454340000,43.94,12/1/20
05123454340000,46.84,1/1/21
05123454340000,44.00,2/1/21
05123454340000,40.03,3/1/21
05123454340000,39.40,4/1/21
05123454340000,28.52,5/1/21
05123454340000,29.93,6/1/21
05123454340000,29.13,7/1/21
05123454340000,24.23,8/1/21
05123454340000,23.27,9/1/21
05123454340000,22.84,10/1/21
05123454340000,22.07,11/1/21
05123454340000,20.39,12/1/21
05123454270000,#VALUE!,6/1/19
05123454270000,549.39,7/1/19
05123454270000,517.77,8/1/19
05123454270000,469.97,9/1/19
05123454270000,342.26,10/1/19
05123454270000,247.27,11/1/19
05123454270000,215.39,12/1/19
05123454270000,159.29,1/1/20
05123454270000,129.69,2/1/20
05123454270000,124.13,3/1/20
05123454270000,111.23,4/1/20
05123454270000,92.00,5/1/20
05123454270000,80.63,6/1/20
05123454270000,75.61,7/1/20
05123454270000,67.26,8/1/20
05123454270000,61.40,9/1/20
05123454270000,56.90,10/1/20
05123454270000,50.73,11/1/20
05123454270000,45.71,12/1/20
05123454270000,44.29,1/1/21
05123454270000,43.54,2/1/21
05123454270000,36.52,3/1/21
05123454270000,38.13,4/1/21
05123454270000,36.35,5/1/21
05123454270000,35.67,6/1/21
05123454270000,34.45,7/1/21
05123454270000,35.10,8/1/21
05123454270000,33.23,9/1/21
05123454270000,33.84,10/1/21
05123454270000,30.17,11/1/21
05123454270000,30.32,12/1/21
05123454280000,#VALUE!,7/1/19
05123454280000,160.10,8/1/19
05123454280000,316.70,9/1/19
