API,oil/day,Date
05123459600000,52.60,9/1/20
05123459600000,52.16,10/1/20
05123459600000,50.37,11/1/20
05123459600000,46.97,12/1/20
05123459600000,41.71,1/1/21
05123459600000,40.71,2/1/21
05123459600000,41.13,3/1/21
05123459600000,42.77,4/1/21
05123459600000,40.19,5/1/21
05123459600000,38.83,6/1/21
05123459600000,35.45,7/1/21
05123459600000,35.00,8/1/21
05123459600000,35.70,9/1/21
05123459600000,29.74,10/1/21
05123459600000,30.03,11/1/21
05123459600000,38.68,12/1/21
05123459590200,#VALUE!,7/1/19
05123459590200,65.68,8/1/19
05123459590200,127.30,9/1/19
05123459590200,141.26,10/1/19
05123459590200,146.72,11/1/19
05123459590200,133.83,12/1/19
05123459590200,106.20,1/1/20
05123459590200,79.47,2/1/20
05123459590200,101.68,3/1/20
05123459590200,58.17,4/1/20
05123459590200,65.55,5/1/20
05123459590200,60.87,6/1/20
05123459590200,54.13,7/1/20
05123459590200,51.13,8/1/20
05123459590200,51.00,9/1/20
05123459590200,51.55,10/1/20
05123459590200,44.30,11/1/20
05123459590200,43.10,12/1/20
05123459590200,37.68,1/1/21
05123459590200,34.71,2/1/21
05123459590200,33.13,3/1/21
05123459590200,31.10,4/1/21
05123459590200,38.32,5/1/21
05123459590200,36.03,6/1/21
05123459590200,33.61,7/1/21
05123459590200,31.23,8/1/21
05123459590200,32.13,9/1/21
05123459590200,31.58,10/1/21
05123459590200,31.73,11/1/21
05123459590200,28.13,12/1/21
05123459580000,74.78,7/1/19
05123459580000,244.32,8/1/19
05123459580000,274.93,9/1/19
05123459580000,264.58,10/1/19
05123459580000,232.86,11/1/19
05123459580000,177.00,12/1/19
05123459580000,8.30,1/1/20
05123459580000,10.75,2/1/20
05123459580000,7.26,3/1/20
05123459580000,7.37,4/1/20
05123459580000,6.74,5/1/20
05123459580000,6.10,6/1/20
05123459580000,5.58,7/1/20
05123459580000,5.13,8/1/20
05123459580000,4.93,9/1/20
05123459580000,5.06,10/1/20
05123459580000,4.57,11/1/20
05123459580000,4.39,12/1/20
05123459580000,4.00,1/1/21
05123459580000,3.75,2/1/21
05123459580000,3.45,3/1/21
05123459580000,3.60,4/1/21
05123459580000,3.55,5/1/21
05123459580000,3.47,6/1/21
05123459580000,3.13,7/1/21
05123459580000,48.77,8/1/21
05123459580000,3.17,9/1/21
05123459580000,3.06,10/1/21
05123459580000,3.03,11/1/21
05123459580000,3.58,12/1/21
05123459560000,#VALUE!,7/1/19
05123459560000,71.35,8/1/19
05123459560000,166.40,9/1/19
05123459560000,187.77,10/1/19
05123459560000,111.36,11/1/19
05123459560000,157.93,12/1/19
05123459560000,117.93,1/1/20
05123459560000,113.47,2/1/20
05123459560000,96.90,3/1/20
05123459560000,83.97,4/1/20
05123459560000,76.58,5/1/20
05123459560000,70.87,6/1/20
05123459560000,64.03,7/1/20
05123459560000,61.61,8/1/20
05123459560000,59.63,9/1/20
05123459560000,65.55,10/1/20
05123459560000,59.93,11/1/20
05123459560000,52.68,12/1/20
05123459560000,52.65,1/1/21
05123459560000,48.64,2/1/21
05123459560000,48.00,3/1/21
05123459560000,53.07,4/1/21
05123459560000,48.39,5/1/21
05123459560000,50.07,6/1/21
05123459560000,44.61,7/1/21
05123459560000,43.06,8/1/21
05123459560000,45.27,9/1/21
05123459560000,47.87,10/1/21
05123459560000,51.80,11/1/21
05123459560000,55.45,12/1/21
05123472980000,88.67,7/1/19
05123472980000,268.84,8/1/19
05123472980000,301.47,9/1/19
05123472980000,373.61,10/1/19
05123472980000,319.34,11/1/19
05123472980000,347.17,12/1/19
05123472980000,279.03,1/1/20
05123472980000,97.97,2/1/20
05123472980000,49.61,3/1/20
05123472980000,155.70,4/1/20
05123472980000,194.42,5/1/20
05123472980000,197.27,6/1/20
05123472980000,174.48,7/1/20
05123472980000,169.55,8/1/20
05123472980000,158.70,9/1/20
05123472980000,148.00,10/1/20
05123472980000,138.93,11/1/20
05123472980000,133.94,12/1/20
05123472980000,125.00,1/1/21
05123472980000,120.86,2/1/21
05123472980000,109.55,3/1/21
05123472980000,115.63,4/1/21
05123472980000,107.71,5/1/21
05123472980000,104.47,6/1/21
05123472980000,100.00,7/1/21
05123472980000,95.68,8/1/21
05123472980000,93.57,9/1/21
05123472980000,91.52,10/1/21
05123472980000,88.87,11/1/21
05123472980000,82.39,12/1/21
05123459610000,76.89,7/1/19
05123459610000,180.81,8/1/19
05123459610000,202.27,9/1/19
05123459610000,190.87,10/1/19
05123459610000,161.69,11/1/19
05123459610000,129.63,12/1/19
05123459610000,106.13,1/1/20
05123459610000,79.76,2/1/20
05123459610000,95.45,3/1/20
05123459610000,80.73,4/1/20
05123459610000,69.58,5/1/20
05123459610000,62.40,6/1/20
05123459610000,54.03,7/1/20
05123459610000,53.45,8/1/20
05123459610000,49.57,9/1/20
05123459610000,50.23,10/1/20
05123459610000,51.20,11/1/20
05123459610000,43.77,12/1/20
05123459610000,40.26,1/1/21
05123459610000,39.04,2/1/21
05123459610000,33.65,3/1/21
05123459610000,31.83,4/1/21
05123459610000,35.45,5/1/21
05123459610000,34.67,6/1/21
05123459610000,32.48,7/1/21
05123459610000,27.71,8/1/21
05123459610000,30.63,9/1/21
05123459610000,29.58,10/1/21
05123459610000,27.70,11/1/21
05123459610000,27.77,12/1/21
05123477610000,1.97,8/1/19
05123477610000,2.70,9/1/19
05123477610000,2.97,10/1/19
05123477610000,2.77,11/1/19
05123477610000,1.41,12/1/19
05123477610000,0.94,1/1/20
05123477610000,1.83,2/1/20
05123477610000,1.55,3/1/20
05123477610000,0.37,4/1/20
05123477610000,1.16,5/1/20
05123477610000,0.87,6/1/20
05123477610000,0.81,7/1/20
05123477610000,0.74,8/1/20
05123477610000,0.70,9/1/20
05123477610000,0.65,10/1/20
05123477610000,0.63,11/1/20
05123477610000,0.58,12/1/20
05123477610000,0.58,1/1/21
05123477610000,0.54,2/1/21
