API,oil/day,Date
05123366910000,9.35,12/1/19
05123366910000,8.58,1/1/20
05123366910000,8.21,2/1/20
05123366910000,6.85,3/1/20
05123366910000,#VALUE!,4/1/20
05123366910000,#VALUE!,5/1/20
05123366910000,#VALUE!,6/1/20
05123366910000,#VALUE!,7/1/20
05123366910000,#VALUE!,8/1/20
05123366910000,#VALUE!,9/1/20
05123366910000,#VALUE!,10/1/20
05123366910000,#VALUE!,11/1/20
05123366910000,#VALUE!,12/1/20
05123366910000,26.89,1/1/21
05123366910000,11.79,2/1/21
05123366910000,9.13,3/1/21
05123366910000,8.60,4/1/21
05123366910000,9.26,5/1/21
05123366910000,7.63,6/1/21
05123366910000,6.84,7/1/21
05123366910000,6.39,8/1/21
05123366910000,6.53,9/1/21
05123366910000,5.77,10/1/21
05123366910000,5.13,11/1/21
05123366910000,4.71,12/1/21
05123360000000,185.71,10/1/13
05123360000000,332.73,11/1/13
05123360000000,242.10,12/1/13
05123360000000,194.83,1/1/14
05123360000000,157.75,2/1/14
05123360000000,148.29,3/1/14
05123360000000,129.73,4/1/14
05123360000000,102.50,5/1/14
05123360000000,2.80,6/1/14
05123360000000,163.26,7/1/14
05123360000000,129.03,8/1/14
05123360000000,98.63,9/1/14
05123360000000,86.19,10/1/14
05123360000000,70.93,11/1/14
05123360000000,64.13,12/1/14
05123360000000,57.00,1/1/15
05123360000000,52.57,2/1/15
05123360000000,53.19,3/1/15
05123360000000,49.50,4/1/15
05123360000000,50.61,5/1/15
05123360000000,47.90,6/1/15
05123360000000,42.35,7/1/15
05123360000000,40.77,8/1/15
05123360000000,35.60,9/1/15
05123360000000,35.19,10/1/15
05123360000000,35.80,11/1/15
05123360000000,30.77,12/1/15
05123360000000,33.77,1/1/16
05123360000000,33.00,2/1/16
05123360000000,27.90,3/1/16
05123360000000,31.67,4/1/16
05123360000000,29.39,5/1/16
05123360000000,25.90,6/1/16
05123360000000,26.29,7/1/16
05123360000000,25.42,8/1/16
05123360000000,18.11,9/1/16
05123360000000,18.13,10/1/16
05123360000000,22.13,11/1/16
05123360000000,10.43,12/1/16
05123360000000,16.58,1/1/17
05123360000000,24.32,2/1/17
05123360000000,16.26,3/1/17
05123360000000,19.37,4/1/17
05123360000000,16.74,5/1/17
05123360000000,18.90,6/1/17
05123360000000,10.71,7/1/17
05123360000000,9.30,8/1/17
05123360000000,18.20,9/1/17
05123360000000,16.00,10/1/17
05123360000000,15.97,11/1/17
05123360000000,15.42,12/1/17
05123360000000,15.74,1/1/18
05123360000000,13.36,2/1/18
05123360000000,14.03,3/1/18
05123360000000,12.87,4/1/18
05123360000000,12.97,5/1/18
05123360000000,10.20,6/1/18
05123360000000,12.00,7/1/18
05123360000000,13.06,8/1/18
05123360000000,9.83,9/1/18
05123360000000,12.23,10/1/18
05123360000000,12.93,11/1/18
05123360000000,11.77,12/1/18
05123360000000,13.87,1/1/19
05123360000000,10.46,2/1/19
05123360000000,10.71,3/1/19
05123360000000,10.43,4/1/19
05123360000000,10.17,5/1/19
05123360000000,17.62,6/1/19
05123360000000,10.74,7/1/19
05123360000000,9.48,8/1/19
05123360000000,11.26,9/1/19
05123360000000,12.00,10/1/19
05123360000000,15.10,11/1/19
05123360000000,14.55,12/1/19
05123360000000,14.58,1/1/20
05123360000000,6.45,2/1/20
05123360000000,2.97,3/1/20
05123360000000,3.50,4/1/20
05123360000000,12.52,5/1/20
05123360000000,9.57,6/1/20
05123360000000,9.48,7/1/20
05123360000000,7.42,8/1/20
05123360000000,8.60,9/1/20
05123360000000,7.27,10/1/20
05123360000000,#VALUE!,11/1/20
05123360000000,9.61,12/1/20
05123360000000,9.42,1/1/21
05123360000000,7.43,2/1/21
05123360000000,6.29,3/1/21
05123360000000,6.50,4/1/21
05123360000000,5.06,5/1/21
05123360000000,5.33,6/1/21
05123360000000,7.61,7/1/21
05123360000000,7.16,8/1/21
05123360000000,6.73,9/1/21
05123360000000,6.29,10/1/21
05123360000000,5.67,11/1/21
05123360000000,4.68,12/1/21
05123360010000,182.13,10/1/13
05123360010000,346.13,11/1/13
05123360010000,282.13,12/1/13
