API,oil/day,Date
05123371450000,11.70,10/1/19
05123371450000,4.74,11/1/19
05123371450000,6.42,12/1/19
05123371450000,7.06,1/1/20
05123371450000,7.38,2/1/20
05123371450000,8.42,3/1/20
05123371450000,7.37,4/1/20
05123371450000,6.97,5/1/20
05123371450000,7.37,6/1/20
05123371450000,6.81,7/1/20
05123371450000,7.35,8/1/20
05123371450000,7.27,9/1/20
05123371450000,6.74,10/1/20
05123371450000,6.47,11/1/20
05123371450000,6.23,12/1/20
05123371450000,6.23,1/1/21
05123371450000,5.25,2/1/21
05123371450000,3.93,3/1/21
05123371450000,4.77,4/1/21
05123371450000,4.61,5/1/21
05123371450000,4.70,6/1/21
05123371450000,4.71,7/1/21
05123371450000,4.68,8/1/21
05123371450000,4.60,9/1/21
05123371450000,4.48,10/1/21
05123371450000,4.47,11/1/21
05123371450000,4.42,12/1/21
05123371460000,196.53,9/1/13
05123371460000,359.45,10/1/13
05123371460000,321.57,11/1/13
05123371460000,232.26,12/1/13
05123371460000,186.27,1/1/14
05123371460000,157.29,2/1/14
05123371460000,140.45,3/1/14
05123371460000,120.13,4/1/14
05123371460000,101.94,5/1/14
05123371460000,94.17,6/1/14
05123371460000,86.39,7/1/14
05123371460000,79.42,8/1/14
05123371460000,67.17,9/1/14
05123371460000,62.00,10/1/14
05123371460000,57.73,11/1/14
05123371460000,54.29,12/1/14
05123371460000,53.10,1/1/15
05123371460000,45.79,2/1/15
05123371460000,45.26,3/1/15
05123371460000,42.70,4/1/15
05123371460000,40.84,5/1/15
05123371460000,38.80,6/1/15
05123371460000,38.84,7/1/15
05123371460000,35.16,8/1/15
05123371460000,32.30,9/1/15
05123371460000,32.68,10/1/15
05123371460000,30.27,11/1/15
05123371460000,22.35,12/1/15
05123371460000,33.00,1/1/16
05123371460000,31.48,2/1/16
05123371460000,27.71,3/1/16
05123371460000,25.40,4/1/16
05123371460000,23.61,5/1/16
05123371460000,25.48,6/1/16
05123371460000,31.10,7/1/16
05123371460000,28.29,8/1/16
05123371460000,26.11,9/1/16
05123371460000,31.71,10/1/16
05123371460000,26.07,11/1/16
05123371460000,28.00,12/1/16
05123371460000,25.39,1/1/17
05123371460000,13.57,2/1/17
05123371460000,2.81,3/1/17
05123371460000,6.37,4/1/17
05123371460000,6.65,5/1/17
05123371460000,29.55,6/1/17
05123371460000,23.61,7/1/17
05123371460000,21.26,8/1/17
05123371460000,20.23,9/1/17
05123371460000,18.29,10/1/17
05123371460000,18.73,11/1/17
05123371460000,17.03,12/1/17
05123371460000,17.10,1/1/18
05123371460000,15.29,2/1/18
05123371460000,15.32,3/1/18
05123371460000,14.83,4/1/18
05123371460000,14.87,5/1/18
05123371460000,12.92,6/1/18
05123371460000,14.55,7/1/18
05123371460000,12.55,8/1/18
05123371460000,11.80,9/1/18
05123371460000,12.00,10/1/18
05123371460000,12.79,11/1/18
05123371460000,3.47,12/1/18
05123371460000,10.34,1/1/19
05123371460000,7.57,2/1/19
