ARIMA,LSTM,Prophet
6.43,4.58,16.63
4.69,4.32,16.63
4.63,5.64,5.29
7.33,3.01,4.7
5.25,8.65,2.57
4.7,2.89,13.04
5.25,4.86,4.32
23.31,24.8,9.27
8.95,6.88,33.32
7.91,5.96,13.25
8.89,3.28,6.94
5.85,3.83,13.13
6.33,3.48,10.89
