ARIMA,LSTM,Prophet
16.6,6.29,16.13
6.18,6.27,15.7
3.03,16.03,10.87
865.55,28.92,6.84
28.38,26.91,30.56
4.34,7.25,12.1
16.17,36.77,3.41
4.74,14.62,13.54
5.28,3.37,25.59
10.91,6.02,8.03
16.04,10.5,19.41
1.77,6.56,5.72
6.36,18.78,7.5
