ARIMA,LSTM,Prophet
8.27,2.09,14.18
7.49,12.79,16.97
2.68,18.5,35.71
3.27,18.73,7.65
5.92,9.64,14.69
9.2,9.02,11.12
48.72,8.48,84.71
27.5,23.78,126.36
3.84,17.39,30.61
16.35,2.72,16.23
6.23,20.1,12.86
35.31,4.53,29.83
3.1,21.11,26.2
4.61,2.38,10.92
10.48,8.73,11.99
9.18,7.82,6.62
8.48,13.77,15.71
12.05,24.92,75.28
17.84,6.07,27.61
9.43,6.94,46.41
17.66,49.5,23.85
5.91,6.05,44.55
128.77,24.29,29.47
5.36,3.29,7.33
28.56,16.05,27.15
10.54,8.5,9.12
9.51,19.25,25.34
60.53,5.34,51.35
