group,well_name,Prophet_test_r2,Prophet_test_mae,Prophet_test_rmse
Wishbone,5.12337E+12,-36.68,18.15,19.13
Wishbone,5.12337E+12,-3.77,11.91,13.11
Wishbone,5.12337E+12,-21.88,9.54,10.37
Wishbone,5.12337E+12,-7.95,4.46,4.78
Wishbone,5.12337E+12,-0.84,2.13,2.5
Wishbone,5.12337E+12,-37.58,9.18,9.82
Wishbone,5.12337E+12,-16.8,4.28,4.7
Wishbone,5.12337E+12,-0.48,1.68,1.81
Wishbone,5.12337E+12,-57.36,8.94,9.94
Wishbone,5.12337E+12,-0.63,1.53,1.76
Wishbone,5.12337E+12,-98.13,8.48,9.32
