Date,oil/day
2019-06-01,155.3
2019-07-01,274.42
2019-08-01,338.87
2019-09-01,411.93
2019-10-01,320.65
2019-11-01,254.07
2019-12-01,223.27
2020-01-01,171.03
2020-02-01,103.34
2020-03-01,116.9
2020-04-01,117.07
2020-05-01,102.94
2020-06-01,98.07
2020-07-01,88.71
2020-08-01,82.68
2020-09-01,84.63
2020-10-01,69.52
2020-11-01,67.73
2020-12-01,65.48
2021-01-01,58.45
2021-02-01,56.5
2021-03-01,54.0
2021-04-01,56.8
2021-05-01,51.81
2021-06-01,54.97
2021-07-01,52.55
2021-08-01,50.9
2021-09-01,51.0
2021-10-01,46.68
2021-11-01,45.6
2021-12-01,43.61
