Date,oil/day
2019-07-01,2.24
2019-08-01,234.29
2019-09-01,265.83
2019-10-01,290.9
2019-11-01,337.55
2019-12-01,262.48
2020-01-01,246.65
2020-02-01,196.24
2020-03-01,157.19
2020-04-01,104.23
2020-05-01,153.61
2020-06-01,146.57
2020-07-01,131.94
2020-08-01,124.29
2020-09-01,113.83
2020-10-01,103.55
2020-11-01,97.67
2020-12-01,94.48
2021-01-01,93.48
2021-02-01,86.82
2021-03-01,79.9
2021-04-01,82.27
2021-05-01,74.74
2021-06-01,70.4
2021-07-01,65.87
2021-08-01,64.9
2021-09-01,60.23
2021-10-01,60.23
2021-11-01,58.77
2021-12-01,53.87
