Date,oil/day
2019-06-01,168.22
2019-07-01,302.1
2019-08-01,337.42
2019-09-01,344.23
2019-10-01,279.77
2019-11-01,219.66
2019-12-01,198.63
2020-01-01,161.39
2020-02-01,76.72
2020-03-01,110.74
2020-04-01,127.87
2020-05-01,112.87
2020-06-01,101.17
2020-07-01,84.58
2020-08-01,76.45
2020-09-01,77.8
2020-10-01,67.55
2020-11-01,60.43
2020-12-01,58.84
2021-01-01,55.39
2021-02-01,51.04
2021-03-01,38.61
2021-04-01,43.97
2021-05-01,40.19
2021-06-01,41.33
2021-07-01,35.03
2021-08-01,29.26
2021-09-01,29.0
2021-10-01,29.9
2021-11-01,27.4
2021-12-01,23.48
