Date,oil/day
2019-07-01,88.67
2019-08-01,268.84
2019-09-01,301.47
2019-10-01,373.61
2019-11-01,319.34
2019-12-01,347.17
2020-01-01,279.03
2020-02-01,97.97
2020-03-01,49.61
2020-04-01,155.7
2020-05-01,194.42
2020-06-01,197.27
2020-07-01,174.48
2020-08-01,169.55
2020-09-01,158.7
2020-10-01,148.0
2020-11-01,138.93
2020-12-01,133.94
2021-01-01,125.0
2021-02-01,120.86
2021-03-01,109.55
2021-04-01,115.63
2021-05-01,107.71
2021-06-01,104.47
2021-07-01,100.0
2021-08-01,95.68
2021-09-01,93.57
2021-10-01,91.52
2021-11-01,88.87
2021-12-01,82.39
