Date,oil/day
2019-08-01,71.35
2019-09-01,166.4
2019-10-01,187.77
2019-11-01,111.36
2019-12-01,157.93
2020-01-01,117.93
2020-02-01,113.47
2020-03-01,96.9
2020-04-01,83.97
2020-05-01,76.58
2020-06-01,70.87
2020-07-01,64.03
2020-08-01,61.61
2020-09-01,59.63
2020-10-01,65.55
2020-11-01,59.93
2020-12-01,52.68
2021-01-01,52.65
2021-02-01,48.64
2021-03-01,48.0
2021-04-01,53.07
2021-05-01,48.39
2021-06-01,50.07
2021-07-01,44.61
2021-08-01,43.06
2021-09-01,45.27
2021-10-01,47.87
2021-11-01,51.8
2021-12-01,55.45
