Date,oil/day
2019-08-01,65.68
2019-09-01,127.3
2019-10-01,141.26
2019-11-01,146.72
2019-12-01,133.83
2020-01-01,106.2
2020-02-01,79.47
2020-03-01,101.68
2020-04-01,58.17
2020-05-01,65.55
2020-06-01,60.87
2020-07-01,54.13
2020-08-01,51.13
2020-09-01,51.0
2020-10-01,51.55
2020-11-01,44.3
2020-12-01,43.1
2021-01-01,37.68
2021-02-01,34.71
2021-03-01,33.13
2021-04-01,31.1
2021-05-01,38.32
2021-06-01,36.03
2021-07-01,33.61
2021-08-01,31.23
2021-09-01,32.13
2021-10-01,31.58
2021-11-01,31.73
2021-12-01,28.13
