Date,oil/day
2013-09-01,217.78
2013-10-01,418.23
2013-11-01,363.13
2013-12-01,234.74
2014-01-01,191.53
2014-02-01,159.64
2014-03-01,135.35
2014-04-01,120.07
2014-05-01,100.77
2014-06-01,90.37
2014-07-01,77.6
2014-08-01,72.97
2014-09-01,64.0
2014-10-01,60.26
2014-11-01,52.13
2014-12-01,45.74
2015-01-01,46.29
2015-02-01,33.46
2015-03-01,38.71
2015-04-01,37.8
2015-05-01,35.1
2015-06-01,31.7
2015-07-01,29.97
2015-08-01,26.74
2015-09-01,24.3
2015-10-01,22.58
2015-11-01,24.47
2015-12-01,18.32
2016-01-01,30.26
2016-02-01,24.0
2016-03-01,21.06
2016-04-01,19.33
2016-05-01,18.39
2016-06-01,17.69
2016-07-01,25.06
2016-08-01,21.39
2016-09-01,13.33
2016-10-01,4.29
2016-11-01,4.23
2016-12-01,4.0
2017-01-01,6.06
2017-02-01,15.79
2017-03-01,19.74
2017-04-01,17.57
2017-05-01,17.61
2017-06-01,15.72
2017-07-01,5.48
2017-08-01,10.55
2017-09-01,11.73
2017-10-01,19.14
2017-11-01,14.93
2017-12-01,14.35
2018-01-01,12.65
2018-02-01,11.64
2018-03-01,8.58
2018-04-01,8.0
2018-05-01,8.13
2018-06-01,6.25
2018-07-01,8.74
2018-08-01,8.87
2018-09-01,9.6
2018-10-01,8.84
2018-11-01,9.0
2018-12-01,9.57
2019-01-01,8.84
2019-02-01,9.0
2019-03-01,8.03
2019-04-01,1.0
2019-06-01,9.04
2019-07-01,4.81
2019-08-01,4.39
2019-09-01,3.46
2019-10-01,7.86
2019-11-01,6.4
2019-12-01,5.71
2020-01-01,4.13
2020-02-01,5.66
2020-03-01,5.77
2020-04-01,4.44
2020-05-01,3.57
2020-06-01,8.63
2020-07-01,6.52
2020-08-01,5.9
2020-09-01,5.9
2020-10-01,5.13
2020-11-01,5.37
2020-12-01,4.68
2021-01-01,4.26
2021-02-01,4.0
2021-03-01,3.48
2021-04-01,3.6
2021-05-01,3.48
2021-06-01,3.37
2021-07-01,3.55
2021-08-01,3.58
2021-09-01,3.6
2021-10-01,3.48
2021-11-01,3.4
2021-12-01,3.35
