Date,oil/day
2013-09-01,312.96
2013-10-01,351.48
2013-11-01,263.3
2013-12-01,218.72
2014-01-01,203.2
2014-02-01,154.54
2014-03-01,144.26
2014-04-01,132.77
2014-05-01,113.06
2014-06-01,108.03
2014-07-01,98.48
2014-08-01,92.84
2014-09-01,83.07
2014-10-01,81.16
2014-11-01,72.57
2014-12-01,67.87
2015-01-01,67.81
2015-02-01,59.61
2015-03-01,60.26
2015-04-01,58.3
2015-05-01,54.9
2015-06-01,49.33
2015-07-01,47.68
2015-08-01,48.06
2015-09-01,41.63
2015-10-01,41.52
2015-11-01,39.43
2015-12-01,31.0
2016-01-01,41.16
2016-02-01,42.0
2016-03-01,38.42
2016-04-01,32.97
2016-05-01,32.06
2016-06-01,34.17
2016-07-01,42.06
2016-08-01,36.32
2016-09-01,31.04
2016-10-01,33.84
2016-11-01,29.2
2016-12-01,34.81
2017-01-01,34.35
2017-02-01,18.25
2017-03-01,22.84
2017-04-01,27.57
2017-05-01,17.74
2017-06-01,24.52
2017-07-01,24.55
2017-08-01,21.0
2017-09-01,21.2
2017-10-01,20.42
2017-11-01,26.57
2017-12-01,24.74
2018-01-01,24.26
2018-02-01,19.32
2018-03-01,22.29
2018-04-01,21.37
2018-05-01,20.26
2018-06-01,18.96
2018-07-01,21.13
2018-08-01,19.77
2018-09-01,14.4
2018-10-01,15.71
2018-11-01,15.04
2018-12-01,15.48
2019-01-01,12.43
2019-02-01,16.71
2019-03-01,15.27
2019-04-01,1.5
2019-06-01,22.67
2019-07-01,12.93
2019-08-01,11.19
2019-09-01,9.53
2019-10-01,20.55
2019-11-01,15.4
2019-12-01,13.52
2020-01-01,14.1
2020-02-01,15.07
2020-03-01,16.48
2020-04-01,14.93
2020-05-01,14.87
2020-06-01,14.0
2020-07-01,14.26
2020-08-01,14.13
2020-09-01,13.5
2020-10-01,12.65
2020-11-01,12.63
2020-12-01,11.9
2021-01-01,11.94
2021-02-01,12.11
2021-03-01,12.1
2021-04-01,12.4
2021-05-01,11.81
2021-06-01,11.83
2021-07-01,12.0
2021-08-01,11.45
2021-09-01,11.17
2021-10-01,10.94
2021-11-01,10.6
2021-12-01,9.9
