Date,oil/day
2013-10-01,277.97
2013-11-01,318.87
2013-12-01,214.65
2014-01-01,165.03
2014-02-01,137.46
2014-03-01,112.77
2014-04-01,100.57
2014-05-01,107.39
2014-06-01,87.7
2014-07-01,71.03
2014-08-01,64.68
2014-09-01,56.5
2014-10-01,51.87
2014-11-01,45.1
2014-12-01,42.19
2015-01-01,40.81
2015-02-01,34.5
2015-03-01,33.81
2015-04-01,31.33
2015-05-01,29.42
2015-06-01,26.23
2015-07-01,24.0
2015-08-01,21.13
2015-09-01,23.5
2015-10-01,21.84
2015-11-01,21.1
2015-12-01,21.58
2016-01-01,27.55
2016-02-01,23.0
2016-03-01,20.48
2016-04-01,21.27
2016-05-01,19.87
2016-06-01,18.0
2016-07-01,18.94
2016-08-01,18.77
2016-09-01,13.96
2016-10-01,23.19
2016-11-01,19.97
2016-12-01,19.97
2017-01-01,18.55
2017-02-01,15.5
2017-03-01,18.06
2017-04-01,14.86
2017-05-01,11.19
2017-06-01,8.34
2017-07-01,7.65
2017-08-01,16.1
2017-09-01,13.1
2017-10-01,9.52
2017-11-01,14.6
2017-12-01,11.42
2018-01-01,9.23
2018-02-01,10.14
2018-03-01,11.39
2018-04-01,10.6
2018-05-01,10.55
2018-06-01,9.28
2018-07-01,11.03
2018-08-01,9.52
2018-09-01,8.83
2018-10-01,9.71
2018-11-01,8.82
2018-12-01,9.2
2019-01-01,7.97
2019-02-01,8.0
2019-03-01,7.1
2019-04-01,1.0
2019-06-01,7.41
2019-07-01,7.16
2019-08-01,6.87
2019-09-01,6.17
2019-10-01,11.7
2019-11-01,4.74
2019-12-01,6.42
2020-01-01,7.06
2020-02-01,7.38
2020-03-01,8.42
2020-04-01,7.37
2020-05-01,6.97
2020-06-01,7.37
2020-07-01,6.81
2020-08-01,7.35
2020-09-01,7.27
2020-10-01,6.74
2020-11-01,6.47
2020-12-01,6.23
2021-01-01,6.23
2021-02-01,5.25
2021-03-01,3.93
2021-04-01,4.77
2021-05-01,4.61
2021-06-01,4.7
2021-07-01,4.71
2021-08-01,4.68
2021-09-01,4.6
2021-10-01,4.48
2021-11-01,4.47
2021-12-01,4.42
