Date,oil/day
2013-09-01,254.77
2013-10-01,341.42
2013-11-01,271.23
2013-12-01,192.57
2014-01-01,171.67
2014-02-01,144.46
2014-03-01,125.77
2014-04-01,111.07
2014-05-01,97.39
2014-06-01,93.37
2014-07-01,78.77
2014-08-01,68.87
2014-09-01,62.97
2014-10-01,56.52
2014-11-01,52.47
2014-12-01,51.39
2015-01-01,49.03
2015-02-01,43.14
2015-03-01,41.84
2015-04-01,39.47
2015-05-01,37.84
2015-06-01,34.0
2015-07-01,31.74
2015-08-01,29.19
2015-09-01,27.67
2015-10-01,27.77
2015-11-01,25.67
2015-12-01,20.55
2016-01-01,24.52
2016-02-01,22.17
2016-03-01,21.16
2016-04-01,19.7
2016-05-01,20.61
2016-06-01,17.83
2016-07-01,15.19
2016-08-01,18.45
2016-09-01,21.67
2016-10-01,22.9
2016-11-01,20.6
2016-12-01,20.61
2017-01-01,18.52
2017-02-01,16.11
2017-03-01,18.71
2017-04-01,16.07
2017-05-01,15.35
2017-06-01,14.34
2017-07-01,14.42
2017-08-01,13.68
2017-09-01,13.33
2017-10-01,11.71
2017-11-01,14.63
2017-12-01,13.74
2018-01-01,13.55
2018-02-01,13.29
2018-03-01,14.65
2018-04-01,13.33
2018-05-01,12.61
2018-06-01,11.56
2018-07-01,11.87
2018-08-01,11.23
2018-09-01,10.73
2018-10-01,10.45
2018-11-01,9.96
2018-12-01,10.97
2019-01-01,9.97
2019-02-01,9.43
2019-03-01,8.97
2019-04-01,1.0
2019-06-01,13.1
2019-07-01,8.47
2019-08-01,6.94
2019-09-01,8.22
2019-10-01,8.65
2019-11-01,7.17
2019-12-01,7.39
2020-01-01,7.55
2020-02-01,8.14
2020-03-01,8.42
2020-04-01,8.0
2020-05-01,7.9
2020-06-01,7.47
2020-07-01,7.45
2020-08-01,7.35
2020-09-01,7.33
2020-10-01,7.26
2020-11-01,7.2
2020-12-01,6.94
2021-01-01,6.97
2021-02-01,6.61
2021-03-01,6.34
2021-04-01,6.4
2021-05-01,5.94
2021-06-01,5.7
2021-07-01,5.81
2021-08-01,5.29
2021-09-01,5.17
2021-10-01,4.74
2021-11-01,5.03
2021-12-01,4.9
