Date,oil/day
2013-09-01,198.2
2013-10-01,283.0
2013-11-01,387.7
2013-12-01,288.34
2014-01-01,209.93
2014-02-01,168.29
2014-03-01,140.26
2014-04-01,116.7
2014-05-01,102.35
2014-06-01,94.1
2014-07-01,82.81
2014-08-01,73.97
2014-09-01,67.0
2014-10-01,62.32
2014-11-01,55.67
2014-12-01,51.03
2015-01-01,49.48
2015-02-01,43.61
2015-03-01,44.35
2015-04-01,41.6
2015-05-01,37.87
2015-06-01,36.1
2015-07-01,34.94
2015-08-01,33.45
2015-09-01,29.43
2015-10-01,29.77
2015-11-01,28.03
2015-12-01,22.0
2016-01-01,31.26
2016-02-01,29.48
2016-03-01,26.61
2016-04-01,24.5
2016-05-01,22.55
2016-06-01,20.21
2016-07-01,23.1
2016-08-01,13.55
2016-09-01,11.78
2016-10-01,11.82
2016-11-01,25.0
2016-12-01,20.68
2017-01-01,17.58
2017-02-01,10.18
2017-03-01,4.74
2017-04-01,8.23
2017-05-01,13.77
2017-06-01,13.0
2017-07-01,11.26
2017-08-01,9.26
2017-09-01,13.2
2017-10-01,11.57
2017-11-01,15.6
2017-12-01,14.68
2018-01-01,14.87
2018-02-01,16.21
2018-03-01,14.06
2018-04-01,14.1
2018-05-01,13.45
2018-06-01,11.17
2018-07-01,13.19
2018-08-01,11.97
2018-09-01,12.37
2018-10-01,12.0
2018-11-01,11.79
2018-12-01,11.33
2019-01-01,9.55
2019-02-01,9.68
2019-03-01,8.65
2019-04-01,1.0
2019-06-01,10.83
2019-07-01,6.2
2019-08-01,5.45
2019-09-01,6.07
2019-10-01,8.25
2019-11-01,7.2
2019-12-01,8.39
2020-01-01,8.68
2020-02-01,8.9
2020-03-01,10.45
2020-04-01,10.83
2020-05-01,9.87
2020-06-01,9.47
2020-07-01,8.52
2020-08-01,8.32
2020-09-01,8.87
2020-10-01,7.87
2020-11-01,7.7
2020-12-01,7.23
2021-01-01,7.32
2021-02-01,6.86
2021-03-01,7.24
2021-04-01,7.53
2021-05-01,7.23
2021-06-01,7.43
2021-07-01,7.48
2021-08-01,6.84
2021-09-01,6.47
2021-10-01,6.68
2021-11-01,6.3
2021-12-01,6.0
