Date,oil/day
2018-08-01,36.5
2018-09-01,509.0
2018-10-01,501.97
2018-11-01,462.9
2018-12-01,491.65
2019-01-01,416.32
2019-02-01,370.5
2019-03-01,313.13
2019-04-01,307.67
2019-05-01,268.81
2019-06-01,170.33
2019-07-01,120.0
2019-08-01,10.82
2019-09-01,153.4
2019-10-01,191.94
2019-11-01,201.37
2019-12-01,193.39
2020-01-01,179.68
2020-02-01,168.34
2020-03-01,143.0
2020-04-01,132.37
2020-05-01,109.26
2020-06-01,92.23
2020-07-01,83.1
2020-08-01,73.58
2020-09-01,67.33
2020-10-01,62.29
2020-11-01,56.27
2020-12-01,51.42
2021-01-01,48.58
2021-02-01,48.79
2021-03-01,43.35
2021-04-01,38.4
2021-05-01,34.81
2021-06-01,34.3
2021-07-01,32.71
2021-08-01,29.45
2021-09-01,27.17
2021-10-01,28.13
2021-11-01,27.4
2021-12-01,26.65
