Date,oil/day
2018-09-01,254.6
2018-10-01,357.65
2018-11-01,418.7
2018-12-01,527.06
2019-01-01,480.68
2019-02-01,398.82
2019-03-01,350.61
2019-04-01,314.13
2019-05-01,266.1
2019-06-01,162.0
2019-09-01,17.0
2019-10-01,44.58
2019-11-01,100.33
2019-12-01,105.71
2020-01-01,108.13
2020-02-01,134.69
2020-03-01,126.42
2020-04-01,120.1
2020-05-01,104.84
2020-06-01,88.5
2020-07-01,78.0
2020-08-01,68.35
2020-09-01,62.17
2020-10-01,55.9
2020-11-01,54.38
2020-12-01,46.87
2021-01-01,42.52
2021-02-01,40.96
2021-03-01,37.03
2021-04-01,36.47
2021-05-01,32.65
2021-06-01,31.83
2021-07-01,31.42
2021-08-01,27.03
2021-09-01,27.93
2021-10-01,27.94
2021-11-01,27.57
2021-12-01,25.77
