Date,oil/day
2019-08-01,281.42
2019-09-01,472.37
2019-10-01,335.0
2019-11-01,434.75
2019-12-01,341.71
2020-01-01,331.23
2020-02-01,223.59
2020-03-01,171.97
2020-04-01,151.87
2020-05-01,126.97
2020-06-01,107.9
2020-07-01,96.1
2020-08-01,85.35
2020-09-01,76.13
2020-10-01,72.39
2020-11-01,63.54
2020-12-01,21.63
2021-01-01,53.55
2021-02-01,49.04
2021-03-01,51.23
2021-04-01,53.47
2021-05-01,65.48
2021-06-01,62.1
2021-07-01,58.61
2021-08-01,53.45
2021-09-01,50.0
2021-10-01,47.42
2021-11-01,45.13
2021-12-01,44.68
