Date,oil/day
2019-08-01,368.56
2019-09-01,523.33
2019-10-01,524.52
2019-11-01,450.47
2019-12-01,367.03
2020-01-01,254.77
2020-02-01,203.41
2020-03-01,178.71
2020-04-01,144.0
2020-05-01,132.52
2020-06-01,113.7
2020-07-01,99.55
2020-08-01,70.84
2020-09-01,73.8
2020-10-01,65.94
2020-11-01,58.5
2020-12-01,55.84
2021-01-01,51.58
2021-02-01,47.5
2021-03-01,40.26
2021-04-01,42.6
2021-05-01,37.03
2021-06-01,35.53
2021-07-01,32.16
2021-08-01,30.13
2021-09-01,27.27
2021-10-01,27.71
2021-11-01,26.33
2021-12-01,26.48
