Date,oil/day
2019-08-01,160.1
2019-09-01,316.7
2019-10-01,320.9
2019-11-01,249.37
2019-12-01,217.32
2020-01-01,167.32
2020-02-01,143.24
2020-03-01,126.97
2020-04-01,124.63
2020-05-01,118.77
2020-06-01,105.27
2020-07-01,109.06
2020-08-01,97.97
2020-09-01,91.07
2020-10-01,85.68
2020-11-01,78.8
2020-12-01,73.55
2021-01-01,71.35
2021-02-01,69.57
2021-03-01,58.61
2021-04-01,54.87
2021-05-01,50.03
2021-06-01,48.33
2021-07-01,45.97
2021-08-01,42.61
2021-09-01,40.53
2021-10-01,39.16
2021-11-01,37.53
2021-12-01,36.61
