Date,oil/day
2019-08-01,300.0
2019-09-01,395.27
2019-10-01,427.67
2019-11-01,379.33
2019-12-01,345.39
2020-01-01,242.9
2020-02-01,227.62
2020-03-01,174.68
2020-04-01,158.03
2020-05-01,115.65
2020-06-01,110.57
2020-07-01,98.61
2020-08-01,90.48
2020-09-01,83.87
2020-10-01,73.03
2020-11-01,68.03
2020-12-01,67.06
2021-01-01,61.68
2021-02-01,57.43
2021-03-01,48.45
2021-04-01,48.07
2021-05-01,44.23
2021-06-01,35.43
2021-07-01,34.74
2021-08-01,34.42
2021-09-01,30.87
2021-10-01,29.55
2021-11-01,27.73
2021-12-01,28.74
