Date,oil/day
2018-09-01,259.0
2018-10-01,332.0
2018-11-01,353.97
2018-12-01,387.97
2019-01-01,332.84
2019-02-01,287.64
2019-03-01,261.03
2019-04-01,269.27
2019-05-01,235.65
2019-06-01,147.67
2019-07-01,16.33
2019-08-01,104.61
2019-09-01,132.06
2019-10-01,110.52
2019-11-01,140.1
2019-12-01,120.06
2020-01-01,94.65
2020-02-01,114.0
2020-03-01,114.06
2020-04-01,107.43
2020-05-01,95.45
2020-06-01,88.9
2020-07-01,83.9
2020-08-01,77.87
2020-09-01,71.4
2020-10-01,65.84
2020-11-01,60.28
2020-12-01,52.71
2021-01-01,48.06
2021-02-01,44.75
2021-03-01,39.9
2021-04-01,38.2
2021-05-01,34.61
2021-06-01,33.97
2021-07-01,34.77
2021-08-01,33.19
2021-09-01,30.27
2021-10-01,30.71
2021-11-01,29.63
2021-12-01,29.77
