Date,oil/day
2019-08-01,431.61
2019-09-01,519.93
2019-10-01,516.43
2019-11-01,519.8
2019-12-01,289.81
2020-01-01,282.13
2020-02-01,161.52
2020-03-01,119.52
2020-04-01,97.8
2020-05-01,78.32
2020-06-01,66.2
2020-07-01,53.52
2020-08-01,45.16
2020-09-01,35.83
2020-10-01,35.58
2020-11-01,21.93
2020-12-01,19.21
2021-01-01,36.39
2021-02-01,38.82
2021-03-01,36.57
2021-04-01,29.37
2021-05-01,41.58
2021-06-01,31.4
2021-07-01,26.26
2021-08-01,21.74
2021-09-01,18.9
2021-10-01,18.39
2021-11-01,17.3
2021-12-01,17.45
