Date,oil/day
2019-08-01,330.16
2019-09-01,497.13
2019-10-01,385.0
2019-11-01,426.5
2019-12-01,410.45
2020-01-01,345.32
2020-02-01,287.38
2020-03-01,239.61
2020-04-01,220.6
2020-05-01,193.55
2020-06-01,167.1
2020-07-01,154.81
2020-08-01,143.39
2020-09-01,130.83
2020-10-01,125.19
2020-11-01,121.82
2020-12-01,0.82
2021-01-01,42.39
2021-02-01,63.21
2021-03-01,70.42
2021-04-01,67.73
2021-05-01,69.03
2021-06-01,62.87
2021-07-01,62.29
2021-08-01,62.9
2021-09-01,61.0
2021-10-01,67.45
2021-11-01,63.37
2021-12-01,54.74
