Date,oil/day
2019-08-01,460.43
2019-09-01,496.8
2019-10-01,524.87
2019-11-01,507.97
2019-12-01,267.48
2020-01-01,184.48
2020-02-01,135.9
2020-03-01,97.65
2020-04-01,90.3
2020-05-01,72.45
2020-06-01,62.83
2020-07-01,56.52
2020-08-01,41.35
2020-09-01,43.6
2020-10-01,41.1
2020-11-01,31.6
2020-12-01,27.35
2021-01-01,30.32
2021-02-01,29.79
2021-03-01,28.74
2021-04-01,29.0
2021-05-01,24.0
2021-06-01,21.67
2021-07-01,20.84
2021-08-01,20.19
2021-09-01,19.23
2021-10-01,17.74
2021-11-01,16.6
2021-12-01,15.84
