Date,oil/day
2018-09-01,428.2
2018-10-01,400.71
2018-11-01,405.53
2018-12-01,428.84
2019-01-01,349.06
2019-02-01,304.86
2019-03-01,301.68
2019-04-01,303.17
2019-05-01,277.45
2019-06-01,180.33
2019-08-01,11.0
2019-09-01,78.72
2019-10-01,103.42
2019-11-01,97.0
2019-12-01,119.0
2020-01-01,170.1
2020-02-01,164.21
2020-03-01,166.87
2020-04-01,162.97
2020-05-01,168.1
2020-06-01,157.23
2020-07-01,156.03
2020-08-01,149.9
2020-09-01,142.8
2020-10-01,137.71
2020-11-01,133.97
2020-12-01,128.26
2021-01-01,123.35
2021-02-01,119.14
2021-03-01,112.26
2021-04-01,109.07
2021-05-01,102.29
2021-06-01,101.77
2021-07-01,102.16
2021-08-01,97.55
2021-09-01,93.7
2021-10-01,92.65
2021-11-01,92.4
2021-12-01,86.9
