Date,oil/day
2019-08-01,246.89
2019-09-01,503.47
2019-10-01,481.82
2019-11-01,455.82
2019-12-01,369.9
2020-01-01,157.38
2020-02-01,336.46
2020-03-01,282.35
2020-04-01,248.17
2020-05-01,216.45
2020-06-01,189.8
2020-07-01,175.45
2020-08-01,160.23
2020-09-01,150.4
2020-10-01,139.58
2020-11-01,126.5
2020-12-01,34.11
2021-01-01,76.06
2021-02-01,64.21
2021-03-01,63.8
2021-04-01,67.07
2021-05-01,68.71
2021-06-01,70.87
2021-07-01,69.03
2021-08-01,64.48
2021-09-01,61.9
2021-10-01,60.26
2021-11-01,60.0
2021-12-01,62.0
