Date,oil/day
2019-08-01,517.42
2019-09-01,503.88
2019-10-01,572.2
2019-11-01,521.03
2019-12-01,379.9
2020-01-01,317.26
2020-02-01,263.24
2020-03-01,191.06
2020-04-01,156.67
2020-05-01,140.1
2020-06-01,118.4
2020-07-01,106.1
2020-08-01,93.84
2020-09-01,82.3
2020-10-01,78.1
2020-11-01,70.67
2020-12-01,66.42
2021-01-01,65.48
2021-02-01,61.64
2021-03-01,52.74
2021-04-01,48.07
2021-05-01,39.61
2021-06-01,23.58
2021-07-01,40.97
2021-08-01,37.16
2021-09-01,32.6
2021-10-01,33.58
2021-11-01,31.67
2021-12-01,31.0
