Date,oil/day
2018-08-01,3.0
2018-09-01,551.0
2018-10-01,496.03
2018-11-01,469.57
2018-12-01,452.61
2019-01-01,401.71
2019-02-01,319.5
2019-03-01,289.94
2019-04-01,226.67
2019-05-01,188.63
2019-06-01,110.67
2019-09-01,68.78
2019-10-01,126.39
2019-11-01,149.23
2019-12-01,155.97
2020-01-01,128.48
2020-02-01,108.55
2020-03-01,94.39
2020-04-01,84.93
2020-05-01,69.26
2020-06-01,59.1
2020-07-01,54.65
2020-08-01,47.74
2020-09-01,44.17
2020-10-01,41.39
2020-11-01,36.87
2020-12-01,34.9
2021-01-01,32.26
2021-02-01,31.43
2021-03-01,27.48
2021-04-01,28.4
2021-05-01,25.71
2021-06-01,23.97
2021-07-01,22.19
2021-08-01,21.13
2021-09-01,19.07
2021-10-01,20.84
2021-11-01,20.23
2021-12-01,19.58
